City,Temp,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,58.41,-33.65,115.33,55.0,84.0,27.22,AU,1592353447.0
mataura,47.46,-46.19,168.86,90.0,100.0,8.99,NZ,1592353448.0
yulara,51.8,-25.24,130.99,34.0,0.0,11.41,AU,1592353448.0
punta arenas,33.39,-53.15,-70.92,79.0,62.0,5.82,CL,1592353446.0
ribeira grande,64.83,38.52,-28.7,90.0,11.0,17.0,PT,1592353448.0
ushuaia,37.4,-54.8,-68.3,86.0,75.0,21.92,AR,1592353423.0
saskylakh,61.16,71.92,114.08,37.0,3.0,20.87,RU,1592353448.0
hilo,73.18,19.73,-155.09,73.0,90.0,10.29,US,1592353448.0
butaritari,82.92,3.07,172.79,80.0,2.0,11.54,KI,1592353449.0
rikitea,75.6,-23.12,-134.97,78.0,74.0,13.38,PF,1592353449.0
upernavik,32.07,72.79,-56.15,94.0,76.0,3.91,GL,1592353449.0
barawe,72.64,42.6,-73.97,50.0,0.0,1.21,US,1592353329.0
albany,78.76,4.88,-1.76,88.0,88.0,12.44,GH,1592353449.0
takoradi,76.41,-3.8,102.27,85.0,74.0,5.1,ID,1592353449.0
bengkulu,86.0,7.77,-72.22,58.0,40.0,6.93,VE,1592353438.0
san cristobal,84.2,17.02,54.09,89.0,75.0,1.12,OM,1592353450.0
jiddah,58.26,61.36,63.58,86.0,72.0,11.54,RU,1592353450.0
salalah,52.79,-37.62,-73.65,92.0,100.0,12.66,CL,1592353450.0
sovetskiy,46.69,69.7,170.31,65.0,100.0,4.9,RU,1592353450.0
lebu,80.98,70.63,147.92,29.0,52.0,11.81,RU,1592353450.0
pevek,31.93,73.51,80.55,94.0,100.0,14.12,RU,1592353451.0
chokurdakh,82.71,3.12,35.6,45.0,18.0,16.55,KE,1592353451.0
dikson,76.75,-3.28,-39.27,87.0,1.0,8.84,BR,1592353451.0
lodwar,71.6,65.28,-126.83,49.0,40.0,20.8,CA,1592353451.0
trairi,58.86,-33.02,27.91,73.0,23.0,9.31,ZA,1592353451.0
norman wells,39.24,77.48,-69.36,71.0,2.0,1.92,GL,1592353451.0
taolanaro,85.19,13.57,33.57,53.0,98.0,10.98,SD,1592353452.0
east london,44.6,-34.53,20.04,93.0,0.0,3.67,ZA,1592353452.0
qaanaaq,77.13,-9.45,-46.3,55.0,48.0,6.69,BR,1592353452.0
sinnar,50.0,60.4,-1.35,100.0,5.0,2.24,GB,1592353452.0
bredasdorp,65.7,36.5,111.7,82.0,100.0,2.68,CN,1592353452.0
morros,37.69,60.14,-45.24,84.0,52.0,11.01,GL,1592353452.0
brae,77.0,31.46,131.23,65.0,75.0,3.36,JP,1592353453.0
xinzhi,66.25,45.3,35.78,86.0,11.0,7.09,UA,1592353386.0
nanortalik,63.64,66.77,123.37,65.0,42.0,10.63,RU,1592353453.0
illoqqortoormiut,68.0,35.84,14.54,82.0,13.0,11.41,MT,1592353453.0
kushima,62.6,69.45,-133.04,59.0,75.0,8.05,CA,1592353454.0
lenine,84.06,67.45,153.68,23.0,94.0,8.08,RU,1592353454.0
barentsburg,55.0,-33.59,26.89,85.0,10.0,3.0,ZA,1592353454.0
zhigansk,54.46,48.68,71.64,76.0,100.0,20.8,KZ,1592353454.0
tsihombe,56.14,-24.79,-50.01,96.0,13.0,5.82,BR,1592353454.0
marsaxlokk,57.87,-42.72,170.97,87.0,73.0,6.98,NZ,1592353454.0
tuktoyaktuk,58.3,62.58,6.13,100.0,85.0,4.7,NO,1592353455.0
srednekolymsk,45.0,64.92,77.78,93.0,100.0,14.67,RU,1592353455.0
port alfred,76.69,1.74,98.78,82.0,82.0,3.53,ID,1592353455.0
atasu,78.35,-6.34,106.1,88.0,20.0,4.7,ID,1592353455.0
castro,64.56,59.7,30.79,88.0,89.0,4.47,RU,1592353455.0
hokitika,72.84,-17.53,146.03,88.0,44.0,12.97,AU,1592353456.0
roald,80.6,55.74,-97.86,28.0,75.0,9.17,CA,1592353456.0
tarko-sale,43.34,67.47,86.58,62.0,63.0,5.28,RU,1592353445.0
sibolga,53.6,64.38,-173.3,66.0,20.0,11.18,RU,1592353456.0
santa eulalia del rio,57.2,-28.77,114.6,44.0,75.0,16.11,AU,1592353456.0
karaton,74.57,1.75,40.06,67.0,30.0,16.73,KE,1592353456.0
nikolskoye,52.68,62.14,117.63,92.0,100.0,11.18,RU,1592353456.0
louisbourg,36.01,66.15,-65.71,81.0,76.0,2.71,CA,1592353456.0
innisfail,49.23,-38.27,141.97,74.0,100.0,5.91,AU,1592353457.0
thompson,70.23,4.28,21.02,91.0,78.0,1.21,CD,1592353457.0
igarka,64.11,48.93,-125.55,63.0,5.0,14.99,CA,1592353398.0
provideniya,54.91,-35.33,-72.42,93.0,100.0,8.3,CL,1592353457.0
geraldton,54.0,-34.42,19.23,82.0,0.0,3.0,ZA,1592353458.0
wajir,82.4,10.17,124.18,78.0,75.0,1.12,PH,1592353458.0
suntar,84.7,22.29,114.16,70.0,1.0,8.99,HK,1592353323.0
pangnirtung,60.8,50.7,-127.42,67.0,20.0,13.87,CA,1592353458.0
codrington,67.69,41.37,-73.41,52.0,1.0,4.7,US,1592353458.0
gbadolite,81.21,22.08,-159.32,66.0,75.0,14.99,US,1592353458.0
sayabec,47.66,-33.93,18.42,93.0,0.0,3.36,ZA,1592353459.0
rawannawi,70.3,42.1,-79.24,49.0,1.0,9.17,US,1592353459.0
ucluelet,51.8,57.79,-152.41,87.0,90.0,21.92,US,1592353459.0
constitucion,72.0,-0.74,-90.35,89.0,51.0,1.99,EC,1592353459.0
hermanus,80.4,-9.8,-139.03,76.0,5.0,19.73,PF,1592353459.0
jandayan,62.6,-24.87,113.63,36.0,0.0,9.17,AU,1592353460.0
tabiauea,43.09,-42.78,147.06,83.0,22.0,3.09,AU,1592353460.0
victoria,41.0,60.92,-46.05,80.0,51.0,10.29,GL,1592353460.0
port hardy,57.78,52.32,36.3,88.0,0.0,9.35,RU,1592353460.0
bethel,64.38,-23.86,35.38,83.0,6.0,8.05,MZ,1592353460.0
kapaa,45.37,-42.88,147.33,65.0,20.0,9.17,AU,1592353355.0
cape town,79.75,25.02,37.27,59.0,0.0,9.42,SA,1592353460.0
